,side,teamname,team kpm,dragons,barons,towers,dpm,vspm,earned gpm,wcpm,cspm,xpat15,goldat15,result
1287,Red,Partizan Esports,0.4867,1.0,0.0,2.0,2193.0939,6.0139,1039.2932,1.0081,28.7833,29252.0,23838.0,0
1288,Blue,Bar̤a eSports,0.2845,0.0,0.0,1.0,1469.2709,6.8287,929.9822,1.0314,29.7333,28208.0,25464.0,0
1289,Red,Los Heretics,0.5691,4.0,0.0,7.0,2192.0806,7.8957,1256.7635,1.5293,34.5347,29320.0,26076.0,1
1290,Blue,Axolotl,0.2228,2.0,0.0,3.0,1607.005,5.3837,934.7525,1.0396,29.8144,30139.0,24059.0,0
1291,Red,Atleta Esport,0.7426,2.0,1.0,10.0,2951.5842,6.9802,1434.3193,0.6683,35.198,31759.0,26582.0,1
1292,Blue,Keypulse Esports,0.2906,2.0,0.0,3.0,1941.5012,7.1768,1022.5278,1.569,31.845,29349.0,24865.0,0
1293,Red,Hurricane of Feathers,0.4939,4.0,1.0,10.0,2564.9201,7.845,1422.8281,1.2203,35.8547,30887.0,28648.0,1
1294,Blue,Ankora Gaming,0.0563,2.0,0.0,3.0,1851.2518,7.9325,987.1167,1.2377,33.1927,29901.0,24129.0,0
1295,Red,SPIKE Syndicate,0.5907,3.0,0.0,9.0,2332.9395,8.4951,1227.4824,1.4909,31.8987,31040.0,26967.0,1
1296,Blue,Team BDS Academy,0.3318,1.0,0.0,4.0,2766.9401,8.2396,1051.3548,1.8249,32.5161,29979.0,24079.0,0
1297,Red,BK ROG Esports,0.553,5.0,1.0,11.0,2393.447,9.5668,1304.5991,1.4654,32.4608,30452.0,25064.0,1
1298,Blue,NNO Prime,0.2171,0.0,0.0,0.0,1782.7021,7.3462,916.8637,1.339,31.0495,30507.0,24872.0,0
1299,Red,Austrian Force willhaben,0.579,4.0,1.0,9.0,2326.1037,9.0109,1321.3752,1.7008,35.5006,30908.0,23889.0,1
1300,Blue,Myth Esports,0.2712,2.0,0.0,4.0,2567.9322,4.9831,1137.5593,0.678,30.7797,28817.0,22769.0,0
1301,Red,unknown team,0.7458,2.0,1.0,11.0,3361.0508,6.9153,1449.7627,0.678,34.4068,31348.0,27258.0,1
1302,Blue,All Knights,0.1535,0.0,0.0,2.0,2059.4118,6.9054,911.8542,0.6905,32.4936,29816.0,24398.0,0
1303,Red,Movistar R7,0.9974,4.0,1.0,11.0,2882.4552,9.0153,1506.0614,1.7647,33.2992,31666.0,26837.0,1
1304,Blue,EGN Esports,0.8496,3.0,1.0,10.0,2346.797,7.2421,1473.6615,0.9305,33.9042,30633.0,26850.0,1
1305,Red,GTZ Esports,0.2428,0.0,0.0,2.0,1514.0796,6.2306,950.6945,0.9305,31.1935,27608.0,23937.0,0
1306,Blue,All Knights,0.2366,1.0,0.0,4.0,1957.0817,7.2676,1078.2085,1.3183,34.1746,30619.0,24999.0,0
1307,Red,Movistar R7,0.6085,3.0,1.0,8.0,2956.3606,7.4028,1325.9831,1.2169,33.8704,30805.0,25830.0,1
1308,Blue,LGD Gaming Young Team,0.6555,4.0,1.0,10.0,3021.0811,9.1432,1391.9379,1.5871,32.54324401913876,29876.795454545456,25044.644736842107,1
1309,Red,Royal Club,0.1035,0.0,0.0,2.0,1805.7274,7.4181,909.0742,1.3801,32.54324401913876,29876.795454545456,25044.644736842107,0
